Papel;Segmento;Cotacao;FFO Yield;Dividend Yield;P/VP;Valor de Mercado;Liquidez;Qtd de imoveis;Preco do m2;Aluguel por m2;Cap Rate;Vacancia Media
FATN11;Hibrido;87,52;7,38%;11,84%;0,85;301.574.000;564.622;51;21.849,10;1.692,33;7,75%;3,36%
FCFL11;Outros;112,35;9,02%;8,66%;0,91;390.305.000;248.846;1;12.530,70;1.184,04;9,45%;0,00%
FEXC11;Titulos e Val. Mob.;83,5;1,32%;0,00%;8,31;8.310.020.000;0;0;0;0;0,00%;0,00%
FFCI11;Lajes Corporativas;182,03;2,75%;0,00%;0,89;671.817.000;0;9;16.671,70;1.123,58;6,74%;1,77%
FGAA11;Hibrido;8,17;14,97%;14,38%;0,85;368.315.000;1.318.410;0;0;0;0,00%;0,00%
FIGS11;Shoppings;49,92;10,57%;9,90%;0,61;142.272.000;114.675;2;2.198,73;247,42;11,25%;5,84%
FIIB11;Hibrido;498,9;8,95%;8,19%;1,06;341.746.000;259.364;11;615,49;61,19;9,94%;0,00%
FIIP11;Hibrido;162,74;10,95%;10,05%;0,81;150.886.000;133.035;7;2.140,90;264,05;12,33%;0,00%
FISC11;Lajes Corporativas;63,99;6,51%;7,53%;0,53;108.783.000;16.690;4;8.633,55;777,43;9,00%;0,00%
FISD11;Titulos e Val. Mob.;203,32;-21,06%;0,00%;3,41;218.079.000;0;1;0;0;0,00%;0,00%
FIXX11;Titulos e Val. Mob.;85,78;7,10%;0,00%;1,35;321.608.000;0;0;0;0;0,00%;0,00%
FLCR11;Titulos e Val. Mob.;97,28;15,58%;14,01%;1,03;61.637.000;443.688;0;0;0;0,00%;0,00%
FLFL11;Hibrido;100;-0,92%;0,96%;0,7;345.426.000;0;1;30.902,30;2.342,01;7,58%;0,00%
FLMA11;Hibrido;133,97;8,74%;9,32%;0,62;184.968.000;67.321;2;15.992,90;1.805,73;11,29%;0,00%
FLRP11;Shoppings;1.980,00;7,66%;7,87%;0,87;142.560.000;15.383;1;2.799,06;231,34;8,26%;2,86%
FMOF11;Lajes Corporativas;50,97;1,95%;1,86%;0,43;25.893.200;1.566;2;1.530,53;162,8;10,64%;30,48%
FPAB11;Lajes Corporativas;231,01;6,72%;3,96%;0,68;173.258.000;102.088;2;4.743,27;346,66;7,31%;29,92%
FPNG11;Lajes Corporativas;287,5;1,33%;0,77%;1,66;669.671.000;1.832;8;51.534,10;1.167,75;2,27%;5,72%
FRBR11;Titulos e Val. Mob.;103,71;7,76%;0,00%;1,06;1.324.330.000;0;0;0;0;0,00%;0,00%
FTCE11;Hibrido;2.834,82;-0,99%;3,16%;1;3.212.010.000;1.546;79;1.647,92;44,76;2,72%;3,79%
FVBI11;Lajes Corporativas;159,71;0,00%;0,00%;0;0;0;1;0;636,95;0,00%;0,00%
FVPQ11;Shoppings;55,93;18,59%;12,52%;0,29;156.612.000;78.347;1;2.727,88;914,91;33,54%;13,60%
FZDA11;Outros;116;0,84%;0,90%;0,64;179.800.000;5.662;6;1,97;0,03;1,70%;0,00%
